LaPorte, IN United States;United States;Indiana;La Porte
East Coast, United States;United States;California;Newport Beach
UK;United Kingdom; ; 
Cincinnati, Ohio United States;United States;Ohio;Cincinnati
Waterford, VA USA;United States;Virginia;Waterford
USA;United States; ; 
United States;United States; ; 
The Zenith City, Duluth, Minnesota;United States;Minnesota;Waterford
Brooklyn, NY;United States;New York;New York
Beaverton, OR;United States;Oregon;Beaverton
CA USA;United States;California; 
Los Angeles;United States;California;Los Angeles
Miami Beach, Florida United States;United States;Florida;Miami Beach
Baltimore/Los Angeles;United States;California;Los Angeles
Oregon, WI USA;United States;Wisconsin;Oregon
Law School;United States;Maryland;Baltimore
Journalist, Author, Singer/Songwriter, in Los Angeles, CA;United States;California;Los Angeles
Thunder;United States;Nevada;Las Vegas
Thunder Bay, Ontario Canada;Canada;Ontario;Thunder Bay
Upstate New York, United States;United States;New York;Syracuse
Beaumont, tx USA;United States;Texas;Beaumont
Huntington Woods, MI USA;United States;Michigan;Huntington Woods
Montgomery, AL USA;United States;Alabama;Montgomery
Arlington, Texas;United States;Texas;Arlington
Simi Valley, CA;United States;California;Simi Valley
Santa Ana, CA USA;United States;California;Santa Ana
bristol, ct United States;United States;Connecticut;Bristol
Paso Robles, CA USA;United States;California;Paso Robles
San Leandro, CA United States;United States;California;San Leandro
Las Vegas, NV United States;United States;Nevada;Las Vegas
Highgate, UK;United Kingdom;England;London
Morrisville, NC United States;United States;North Carolina;Morrisville
East Bridgewater, MA USA;United States;Massachusetts;East Bridgewater
Durham, NC USA;United States;North Carolina;Durham
North Hollywood, CA USA;United States;California;Los Angeles
Barberton, Ohio United States;United States;Ohio;Barberton
Langley, B.C. Canada;Canada;British Columbia;Langley
jersey city, nj United States;United States;New Jersey;Jersey City
Florida;United States; ; 
Tallahassee, Florida USA;United States;Florida;Tallahassee
Perry, Iowa United States;United States;Iowa;Perry
California;United States;California; 
Bay Point, CA;United States;California;Bay Point
NY United States;United States;New York;New York
Mt. Pleasant, SC United States;United States;South Carolina;Mount Pleasant
Concord, CA USA;United States;California;Concord
Gainesville, Virginia, United States;United States;Virginia;Gainesville
Chicago, Il United States;United States;Illinois;Chicago
Reseda, California United States;United States;California;Los Angeles
Cary, NC USA;United States;North Carolina;Cary
Jacksonville, FL United States;United States;Florida;Jacksonville
Huntington Beach,CA;United States;California;Huntington Beach
London, United Kingdom;United Kingdom;England;London
Northern Wisconsin,  United States;United States;Wisconsin;Bagley
Berkeley Springs, WV USA;United States;West Virginia;Berkeley Springs
New Hampshire;United States;New Hampshire; 
Texas;United States;Texas; 
Houston, TX USA;United States;Texas;Houston
San Francisco, CA United States;United States;California;San Francisco
Melbourne Australia;Australia;Victoria;Melbourne
Lake City, FL United States;United States;Florida;Lake City
Chiang Mai, T. Suthep, A. Muang Thailand;Thailand;Chiang Mai;Su Thep
Wisconsin, USA;United States;Wisconsin; 
Bethlehem, PA United States;United States;Pennsylvania;Bethlehem
Canton, OH;United States;Ohio;Canton
E. Calais, VT USA;United States;Vermont;Calais
Pennsylvania;United States;Pennsylvania; 
Cuyahoga Falls, OH;United States;Ohio;Cuyahoga Falls
Oceanside, CA United States;United States;California;Oceanside
Minnesota;United States;Minnesota; 
Michigan, USA;United States;Michigan; 
Sugar Land, TX;United States;Texas;Sugar Land
Valencia, Venezuela;Venezuela;Carabobo;Valencia
Ossining, NY United States;United States;New York;Ossining
Jerusalem,Israel;Israel;Jerusalem District;Jerusalem
San Clemente, CA USA;United States;California;San Clemente
New Orleans;United States;Louisiana;New Orleans
charleville-mezieres, France;France;Champagne-Ardenne;Charleville-Mezières
North by Northwest USA;United States; ; 
Somerville, MA USA;United States;Massachusetts;Somerville
St. Louis Metro East Area;United States;Illinois;Franklin Park
Webster, NY United States;United States;New York;Webster
Brockport, NY;United States;New York;Brockport
SoCal;France;Île-de-France;Meaux
Los Angeles, CA United States;United States;California;Los Angeles
Canada;Canada; ; 
Little Chute, WI  USA;United States;Wisconsin;Little Chute
chicago;United States;Illinois;Chicago
usa;United States; ; 
Men...Of...The...Sea!;India;Maharashtra;Navi Mumbai
Australia;Australia; ; 
Geneva,  Switzerland;Switzerland;Geneva;Geneva
Des Plaines, IL USA;United States;Illinois;Des Plaines
San Diego;United States;California;San Diego
Iceland;Iceland; ; 
Missouri United States;United States;Missouri;San Diego
Newport Beach, CA;United States;California;Newport Beach
Teaneck, New Jersey United States;United States;New Jersey;Teaneck
Laker Town\;India;Rajasthan;Lakher
Thomasville, NC United States;United States;North Carolina;Thomasville
Westchester, NY USA;United States;New York; 
Toronto, Ontario Canada;Canada;Ontario;Toronto
Ohio, USA;United States;Ohio; 
Philly;United States;Pennsylvania;Philadelphia
Sydney, Nova Scotia Canada;Canada;Nova Scotia;Sydney
New Jersey United States;United States;New Jersey; 
Philadelphia, PA;United States;Pennsylvania;Philadelphia
Missouri, USA;United States;Missouri; 
Michigan;United States;Michigan; 
GEORGIA, USA;United States;Georgia; 
Houston, TX.;United States;Texas;Houston
Dallastown, PA U.S.A;United States;Pennsylvania;Dallastown
Chicago, IL;United States;Illinois;Chicago
Des Moines, IA USA;United States;Iowa;Des Moines
Springtown, Pa. United States;United States;Pennsylvania;East Norriton
Springtown, Pa.;United States;Pennsylvania;East Norriton
PA;United States;Pennsylvania; 
Colorado;United States;Colorado; 
Church Point, NSW Australia;Australia;New South Wales;Church Point
CALIFORNIA;United States;California; 
los angeles ca;United States;California;Los Angeles
T.O, CA;Canada;Ontario;Toronto
Limerick, Ireland.;Ireland;Limerick;Limerick
Philadelphia,PA USA;United States;Pennsylvania;Philadelphia
Memphis;United States;Tennessee;Memphis
New York, NY;United States;New York;New York
